publishers,vol,category,author,book_name,,,
مكتبة سيدا,1,التصوف,أبو سعيد الخادمي,شرح أيها الولد,,,
دار الفكر,1,التصوف,أبو طالب المكي,قوت القلوب في معاملة المحبوب,,,
دار ابن حزم,1,التصوف,أبو عبد الله محمد الخروبي,الأنس في شرح عيوب النفس ,,,
دار الكتب العلمية,1,التصوف,أبو عمرو الداني,السنن الواردة في الفتن وغوائلها والساعة وأشراطها,,,
مجمع المركز للبحوث الاسلامية,3,التصوف,أبوبكر أحمد المليباري,الإمداد بشرح راتب الحداد,,,
مجمع المركز للبحوث الاسلامية,1,التصوف,أبوبكر أحمد المليباري,طريقة التصوف بين الأصيل والدخيل,,,
مكتبة كابتل,1,التصوف,أبوبكر أحمد المليباري,يا بني,,,
كتاب ناشرون,1,التصوف,أبوبكر البناني,الفتوحات الغيبية في حل ألفاظ الصلاة المشيشية (مع اللمعات الصوفية),,,
كتاب ناشرون,1,التصوف,أبوبكر البناني,بلوغ الأمنية في شرح حديث إنما الأعمال بالنيات (مع اللمعات الصوفية),,,
كتاب ناشرون,1,التصوف,أبوبكر البناني,شرح أبيات تطهر بماء الغيب (مع اللمعات الصوفية),,,
كتاب ناشرون,1,التصوف,أبوبكر البناني,اللمعات الصوفية في كشف بعض الأسرار النورانية,,,
كتاب ناشرون,1,التصوف,أبوبكر العيدروس,النجم الساعي في مناقب القطب الكبير الرفاعي  (الأسرار الإلهية),,,
مكتبة الإرشاد,1,التصوف,أبي محمد الويلتوري,تنوير المسرات بشرح دلائل الخيرات,,,
مكتبة البدرية كوتكل,1,التصوف,أبي محمد الويلتوري,تنوير المسرات بشرح دلائل الخيرات,,,
مكتبة الإرشاد,1,التصوف,أبي محمد الويلتوري,سلالم آل الظفر في التوسل بأهل النصر (مع تنوير المسرات ),,,
أبناء مولوي محمد بن غلام,1,التصوف,أحمد الديربي,مجربات الديربي الكبير= فتح الملك المجيد المؤلف لنفع العبيد,,,
دار الكتب العلمية,1,التصوف,أحمد الشرنوبي,تائية السلوك إلى ملك الملوك,,,
دار الكتب العلمية,1,التصوف,أحمد القسطلاني,مسالك الحنفا إلى مشارع الصلاة على المصطفى ﷺ,,,
دار الكتب العلمية,1,التصوف,أحمد القليوبي,نوادر القليوبي ,,,
دار إحياء الكتب العربية,1,التصوف,أحمد بن ادريس,روح السنة وروح النفوس المطمئنة (مع مختصر تذكرة القرطبي),,,
المطبعة الأزهرية,1,التصوف,أحمد بن المبارك المالكي,الإبريز من كلام سيدي عبد العزيز,,,
دار الكتب العلمية,1,التصوف,أحمد بن المبارك المالكي,الإبريز من كلام سيدي عبد العزيز,,,
دار المنهاج,1,التصوف,أحمد بن زيني دحلان,تقريب الأصول لتسهيل الوصول لمعرفة الرب سبحانه وتعالى والرسول,,,
دار الفكر,2,التصوف,أحمد بن زيني دحلان,سراج الطالبين شرح منهاج العابدين,,,
دار الكتب العلمية,1,التصوف,أحمد بن عطاء الله السكندري,ترتيب السلوك ,,,
دار الكتب العلمية,,التصوف,أحمد بن عطاء الله السكندري,مفتاح الفلاح ومصباح الأرواح في ذكر الله الكريم الفتاح,,,
دار الكتب العلمية,1,التصوف,أحمد بن عطاء الله السكندري,رسالة في أدب العلم  (مع ترتيب السلوك ),,,
دار الكتب العلمية,1,التصوف,أحمد بن عطاء الله السكندري,تاج العروس الحاوي لتهذيب النفوس,,,
دار التقوى,1,التصوف,أحمد بن عطاء الله السكندري,تاج العروس الحاوي لتهذيب النفوس ,,,
المكتبة العلمية الفلكية,1,التصوف,أحمد بن علي البوني ,شمس المعارف الكبرى = شمس المعارف ولطائف العوارف,,,
مطبعة الأمنية الرباط,1,التصوف,أحمد بن مبارك السجلسماسي,رسالة متعلقة بكلام ابن عربي الحاتمي وما ذكره في إيمان فرعون,,,
دار الرسالة داغستان,1,التصوف,أحمد بن محمد مفتي داغستان,رياض أخلاق الصالين ,,,
دار الكتب العلمية,1,التصوف,أحمد زروق الفاسي,سفينة النجا لمن التجا = الوظيفة الزروقية (مع الأنوار السنية),,,
وقفية الأمير غازي ,1,التصوف,أحمد عزالدين الفاروثي,إرشاد المسلمين لطريقة شيخ المتقين,,,
كتاب ناشرون,1,التصوف,أرسلان الدمشقي,التحفة المرسلة في الوحدة والتوحيد مع شروح التحفة المرسلة,,,
دار الكتب العلمية,1,التصوف,إبراهم أفندي الراوي,السير والمساعي في أحزاب وأوراد الغوث الكبير الرفاعي  (مع البرهان المؤيد),,,
دار الكتاب العلمية ,1,التصوف,إسماعيل الرشيدي,الهدية الرشيدية في الإجتماع بسيد البرية والتوجه إلى النفس القدسية (مع تنوير الحلك),,,
دار النور القادرية ,1,التصوف,إسماعيل القادري الكيلاني,الفيوضات الربانية في المآثر والأوراد القادرية,,,
مركز رواسخ,1,التصوف,إعداد : مركز رواسخ,الشذود الجنسي خطيئة العصر,,,
دار الكتب العلمية,1,التصوف,ابن أبي العز الحنفي,رسالة في الصلاة مع تلخيص تسهيل المقاصد لزوار المساجد,,,
دار الغد الجديد,1,التصوف,ابن الجوزي,صيد الخاطر,,,
دار الفكر,1,التصوف,ابن الجوزي,تلبيس إبليس,,,
مكتبة الفجر,1,التصوف,ابن العربي,الوصايا,,,
دار الكتب العلمية,2,التصوف,ابن برجان,شرح أسماء الله الحسنى,,,
مكتبة القرآن,1,التصوف,ابن حجر الهيتمي,القول المختصر في علامات المهدي المنتظر,,,
دار الفكر,2,التصوف,ابن حجر الهيتمي,الزواجر عن اقتراف الكبائر,,,
دار الكتب العلمية,1,التصوف,ابن حجر الهيتمي,تحفة الزوار إلى قبر النبي المختار ﷺ,,,
مركز الجيلاني,1,التصوف,ابن حجر الهيتمي,كتاب التعرف في الأصلين والتصوف  (كتاب التلطف ),,,
المكتب الإسلامي,1,التصوف,ابن رجب الحنبلي,لطائف المعارف فيما لمواسم العام من الوظائف,,,
دار الكتب العلمية,1,التصوف,ابن رجب الحنبلي,التخويف من النار والتعريف بحال دار البوار,,,
مكتبة التوفيقية,1,التصوف,ابن زكري الفاسي,شرح قواعد التصوف (للزروق),,,
دار الكتب العلمية,1,التصوف,ابن عجيبة,الجواهر العجيبة من تآليف سيدي أحمد بن عجيبة,,,
دار الكتب العلمية,1,التصوف,ابن عجيبة,اللواقح القدسية في شرح الوظيفة الزروقية  (مع الجواهر العجيبة),,,
دار الكتب العلمية,1,التصوف,ابن عجيبة,شرح الأبيات الثلاثة للجنيد (مع اللطائف الإيمانية الملكوتية),,,
دار الكتب العلمية,1,التصوف,ابن عجيبة,فضائل نور سيّد المرسلين  وذكر أطواره في الكونين (الجواهر العجيبة),,,
الدار البيضاء,1,التصوف,ابن عجيبة,كشف النقاب عن سر لب الألباب (مع معراج التشوف),,,
دار الكتب العلمية,1,التصوف,ابن عجيبة,منازل السائرين والواصلين وأسرار علم الحقيقة ودوائر الحضرة وأصناف الأولياء البررة (الجواهر العجيبة),,,
دار الكتب العلمية,1,التصوف,ابن عجيبة,سلك الدرر في ذكر القضاء والقدر  (مع اللطائف الإيمانية الملكوتية),,,
دار الكتب العلمية,1,التصوف,ابن عجيبة,شجرة اليقين فيما يتعلق بكون ربّ العالمين  (الجواهر العجيبة),,,
دار الكتب العلمية,1,التصوف,ابن عجيبة,شرح بعض مقتطفات الششتري  (مع اللطائف الإيمانية الملكوتية),,,
دار الكتب العلمية,1,التصوف,ابن عجيبة,شرح تائية سيدي محمد البوزيري,,,
دار الكتب العلمية,1,التصوف,ابن عجيبة,شرح خمرية ابن الفارض  (مع اللطائف الإيمانية الملكوتية),,,
دار الكتب العلمية,1,التصوف,ابن عجيبة,شرح رائية  سيدي محمد البوزيري,,,
دار الكتب العلمية,1,التصوف,ابن عجيبة,شرح صلاة الشيخ الأكبر ابن عربي  (مع اللطائف الإيمانية الملكوتية),,,
دار الكتب العلمية,1,التصوف,ابن عجيبة,شرح صلاة القطب ابن مشيش  (مع اللطائف الإيمانية الملكوتية),,,
دار الكتب العلمية,1,التصوف,ابن عجيبة,شرح قصيدة يامن تعاظم لإمام الرفاعي  (مع اللطائف الإيمانية الملكوتية),,,
دار الكتب العلمية,1,التصوف,ابن عجيبة,شرح نونية الإمام الششتري  (مع اللطائف الإيمانية الملكوتية),,,
دار الكتب العلمية,1,التصوف,ابن عجيبة,كشف النقاب عن سرّ لبّ الألباب (الجواهر العجيبة),,,
الدار البيروت,1,التصوف,ابن عجيبة,معراج التشوف إلى حقائق التصوف,,,
الدار البيضاء,1,التصوف,ابن عجيبة,معراج التشوف إلى حقائق التصوف,,,
دار الكتب العلمية,1,التصوف,ابن عجيبة,معراج التشوف إلى حقائق التصوف  (مع اللطائف الإيمانية الملكوتية),,,
دار الكتب العلمية,1,التصوف,ابن عجيبة,نبذة عن مناقب الزهاد السبعة (الجواهر العجيبة),,,
دار الكتب العلمية,1,التصوف,ابن عربي,العقد المنظوم فيما تحويه الحروف من الخواص والعلوم (مع المبادي والغايات),,,
مؤسسة ابن العربي,1,التصوف,ابن عربي,الغايات فيما ورد من الغيب في تفسير بعض الآيات (مع إشارات القرآن),,,
دار الكتب العلمية,2,التصوف,ابن عابدين,إجابة الغوث ببيان حال النقباء والنجباء والأبدال والأوتاد والغوث(مع مجموعة رسائل ابن عابدين ج٢),,,
دار الكتب العلمية,2,التصوف,ابن عابدين,سل الحسام الهندي لنصرة مولانا خالد النقشبندي (مع مجموعة رسائل ابن عابدين ج٢),,,
بدون عنوان,1,التصوف,ابن عربي,المبشرات المنامية (مع سواد العينين),,,
مؤسسة ابن العربي,1,التصوف,ابن عربي,المقصد الأسمى في الإشارات فيما وقع في القرآن بلسان الحقيقة والشريعة من الكنايات (مع الأجوبة اللائقة),,,
مؤسسة ابن العربي,1,التصوف,ابن عربي,المقنع في السهل الممتنع (مع الأجوبة اللائقة),,,
مؤسسة ابن العربي,1,التصوف,ابن عربي,بلغة الغواص في الأكوان إلى معدن الإخلاص في معرفة الإنسان,,,
مؤسسة ابن العربي,1,التصوف,ابن عربي,تحفة السفرة الى حضرة البررة,,,
مؤسسة ابن العربي,1,التصوف,ابن عربي,رسالة الفتوحات المدنية (مع تلقيح الأذهان),,,
مؤسسة ابن العربي,1,التصوف,ابن عربي,رسالة في كيفية السلوك - الأنوار فيما يمنح صاحب الخلوة من الأسرار (مع خمس رسائل في السلوك),,,
دار الكتب العلمية,1,التصوف,ابن عربي,رسالة إلى الإمام الرازي (مع رسائل ابن عربي),,,
دار الكتب العلمية,1,التصوف,ابن عربي,رسالة الأنوار (مع رسائل ابن عربي),,,
دار الكتب العلمية,1,التصوف,ابن عربي,رسالة الانتصار (مع رسائل ابن عربي),,,
دار الكتب العلمية,1,التصوف,ابن عربي,رسالة القسم الإلهي (مع رسائل ابن عربي),,,
دار الكتب العلمية,1,التصوف,ابن عربي,رسالة لا يعول عليه (مع رسائل ابن عربي),,,
دار الحسين الإسلامية,1,التصوف,ابن عربي,شطرنج العارفين (مع شرحه أنيس الخائفين),,,
دار الكتب العلمية,1,التصوف,ابن عربي,كتاب أيام الشأن (مع رسائل ابن عربي),,,
دار الكتب العلمية,1,التصوف,ابن عربي,كتاب اصطلاح الصوفية (مع رسائل ابن عربي),,,
دار الكتب العلمية,1,التصوف,ابن عربي,كتاب الأزل (مع رسائل ابن عربي),,,
دار الكتب العلمية,1,التصوف,ابن عربي,كتاب الألف وهو كتاب الأحدية (مع رسائل ابن عربي),,,
دار الكتب العلمية,1,التصوف,ابن عربي,كتاب الإسرا إلى مقام الأسرى (مع رسائل ابن عربي),,,
دار الكتب العلمية,1,التصوف,ابن عربي,كتاب الإسفار عن نتائج الأسفار (مع رسائل ابن عربي),,,
دار الكتب العلمية,1,التصوف,ابن عربي,كتاب الإعلام بإشارات أهل الإسلام (مع رسائل ابن عربي),,,
دار الكتب العلمية,1,التصوف,ابن عربي,كتاب التجليات (مع رسائل ابن عربي),,,
دار الكتب العلمية,1,التصوف,ابن عربي,كتاب التراجم (مع رسائل ابن عربي),,,
دار الكتب العلمية,1,التصوف,ابن عربي,كتاب الجلال والجمال (مع رسائل ابن عربي),,,
دار الكتب العلمية,1,التصوف,ابن عربي,كتاب الجلالة وهو كلمة الله (مع رسائل ابن عربي),,,
دار الكتب العلمية,1,التصوف,ابن عربي,كتاب الشاهد (مع رسائل ابن عربي),,,
دار الكتب العلمية,1,التصوف,ابن عربي,كتاب الفناء في المشاهدة (مع رسائل ابن عربي),,,
دار الكتب العلمية,1,التصوف,ابن عربي,كتاب القربة (مع رسائل ابن عربي),,,
دار الكتب العلمية,1,التصوف,ابن عربي,كتاب الكتب (مع رسائل ابن عربي),,,
دار الكتب العلمية,1,التصوف,ابن عربي,كتاب المسائل (مع رسائل ابن عربي),,,
دار الكتب العلمية,1,التصوف,ابن عربي,كتاب الميم والواو والنون (مع رسائل ابن عربي),,,
دار الكتب العلمية,1,التصوف,ابن عربي,كتاب الوصايا (مع رسائل ابن عربي),,,
دار الكتب العلمية,1,التصوف,ابن عربي,كتاب الوصية (مع رسائل ابن عربي),,,
دار الكتب العلمية,1,التصوف,ابن عربي,كتاب الياء وهو كتاب الهو (مع رسائل ابن عربي),,,
دار الكتب العلمية,1,التصوف,ابن عربي,كتاب حلية الأبدال (مع رسائل ابن عربي),,,
دار الكتب العلمية,1,التصوف,ابن عربي,كتاب منزل القطب ومقامه وحاله (مع رسائل ابن عربي),,,
دار الكتب العلمية,1,التصوف,ابن عربي,كتاب نقش الفصوص (مع رسائل ابن عربي),,,
مؤسسة ابن العربي,1,التصوف,ابن عربي,إشارات القرآن في عالم الإنسان,,,
دار الإمام مسلم,1,التصوف,ابن عربي,اصطلاحات الشيخ محي الدين ابن عربي,,,
مؤسسة ابن العربي,1,التصوف,ابن عربي,الأجوبة اللائقة عن الأسئلة الفائقة,,,
مؤسسة ابن العربي,1,التصوف,ابن عربي,الأمر المحكم المربوط فيما يلزم أهل طريق الله من الشروط (مع خمس رسائل في السلوك),,,
القدس للنشر والتوزيع,1,التصوف,ابن عربي,التنزلات الموصلية في أسرار الطهارات والصلوات والأيام الأصلية,,,
مؤسسة ابن العربي,1,التصوف,ابن عربي,الحق في النعوت والأسماء الإلهية (مع الأجوبة اللائقة),,,
مؤسسة ابن العربي,1,التصوف,ابن عربي,الرسالة الموقظة (مع تلقيح الأذهان),,,
مؤسسة ابن العربي,1,التصوف,ابن عربي,العبادلة,,,
دار الفكر,8,التصوف,ابن عربي,الفتوحات المكية,,,
دار الكتب العلمية,1,التصوف,ابن عربي,المبادي والغايات في معاني الحروف والآيات,,,
مؤسسة ابن العربي,1,التصوف,ابن عربي,المبشرات المنامية  (مع تحفة السفرة),,,
القدس للنشر والتوزيع,1,التصوف,ابن عربي,المحجة البيضاء في الأحكام الشرعية والآداب الدينية,,,
مؤسسة ابن العربي,1,التصوف,ابن عربي,الموعظة الحسنة  (مع تحفة السفرة),,,
مؤسسة ابن العربي,1,التصوف,ابن عربي,الميزان في حقيقة الإنسان  (مع تحفة السفرة),,,
مؤسسة ابن العربي,1,التصوف,ابن عربي,تاج الرسائل ومنهاج الوسائل (مع إشارات القرآن),,,
مؤسسة ابن العربي,1,التصوف,ابن عربي,تلقيح الأذهان ومفتاح معرفة الإنسان ,,,
مؤسسة ابن العربي,1,التصوف,ابن عربي,خمس رسائل في السلوك,,,
مؤسسة ابن العربي,1,التصوف,ابن عربي,در الدرر,,,
دار الكتب العلمية,1,التصوف,ابن عربي,رسائل ابن عربي,,,
مؤسسة ابن العربي,1,التصوف,ابن عربي,رسالة الخلوة (مع خمس رسائل في السلوك),,,
مؤسسة ابن العربي,1,التصوف,ابن عربي,رسالة الدعوة إلى طريق العلم  (مع تحفة السفرة),,,
مؤسسة ابن العربي,1,التصوف,ابن عربي,رسالة الموازنة بين الإنسان والعالم (مع تلقيح الأذهان),,,
مؤسسة ابن العربي,1,التصوف,ابن عربي,رسالة معرفة القلب  (مع تحفة السفرة),,,
مؤسسة ابن العربي,1,التصوف,ابن عربي,سفير الإلهام (مع در الدرر),,,
مكتبة عالم الفكر,1,التصوف,ابن عربي,شجرة الكون,,,
دار الكتب العلمية,1,التصوف,ابن عربي,فصوص الحكم,,,
مؤسسة ابن العربي,1,التصوف,ابن عربي,كتاب التجليات ,,,
القدس للنشر والتوزيع,1,التصوف,ابن عربي,كشف المعنى عن سر أسماء الله الحسنى,,,
مؤسسة ابن العربي,1,التصوف,ابن عربي,كنز الحقائق في كشف الدقائق,,,
مؤسسة ابن العربي,1,التصوف,ابن عربي,كنه ما لا بد للمريد منه (مع خمس رسائل في السلوك),,,
مؤسسة ابن العربي,1,التصوف,ابن عربي,كيمياء السعادة لأهل الإرادة (مع در الدرر),,,
مؤسسة ابن العربي,1,التصوف,ابن عربي,ما لا يعوّل عليه (مع خمس رسائل في السلوك),,,
مؤسسة ابن العربي,1,التصوف,ابن عربي,مفاتيح الغيب (مع در الدرر),,,
المكتبة العصرية,1,التصوف,ابن عربي,مواقع النجوم ومطالع أهلة الأسرار والعلوم,,,
مؤسسة ابن العربي,1,التصوف,ابن عربي,نسب الخرقة المباركة  (مع تحفة السفرة),,,
دار الكتاب العلمية ,1,التصوف,ابن علان,إتحاف أهل الإسلام والإيمان بأن المصطفى ﷺ لا يخلو عنه زمان ولا مكان (مع تنوير الحلك),,,
مركز جيلاني,1,التصوف,ابن علان,كتاب التلطف في الوصول إلى التعرف شرح كتاب التعرف في الأصلين والتصوف,,,
دار ابن حزم,3,التصوف,ابن علان الصديقي,الفتوحات الربانية على الأذكار النووية,,,
دار القلم,1,التصوف,ابن قدامة المقدسي,الرقة والبكاء,,,
وزارة الأوقاف قطر,1,التصوف,ابن قيم الجوزية,تحفة المودود بأحكام المولود,,,
وزارة الأوقاف قطر,2,التصوف,ابن قيم الجوزية,إغاثة اللهفان في مصايد الشيطان,,,
وزارة الأوقاف قطر,1,التصوف,ابن قيم الجوزية,الداء والدواء,,,
دار الجيل,1,التصوف,ابن قيم الجوزية,الروح لابن القيم,,,
وزارة الأوقاف قطر,1,التصوف,ابن قيم الجوزية,الفوائد,,,
وزارة الأوقاف قطر,1,التصوف,ابن قيم الجوزية,الوابل الصيب ورافع الكلم الطيب,,,
وزارة الأوقاف قطر,1,التصوف,ابن قيم الجوزية,جلاء الأفهام في فضل الصلاة والسلام على خير الأنام ﷺ,,,
وزارة الأوقاف قطر,2,التصوف,ابن قيم الجوزية,حادي الأرواح إلى بلاد الأفراح,,,
وزارة الأوقاف قطر,2,التصوف,ابن قيم الجوزية,طريق الهجرتين وباب السعادتين,,,
وزارة الأوقاف قطر,1,التصوف,ابن قيم الجوزية,عدة الصابرين وذخيرة الشاكرين,,,
وزارة الأوقاف قطر,1,التصوف,ابن قيم الجوزية,كتاب الصلاة,,,
وزارة الأوقاف قطر,3,التصوف,ابن قيم الجوزية,مفتاح دار السعادة ومنشور ولاية العلم والإرادة,,,
أبناء مولوي محمد بن غلام,1,التصوف,ابن هشام,شرح قصيدة بانت سعاد (مع فتح الصمد العالم),,,
أبناء مولوي محمد بن غلام,1,التصوف,الباجوري,الإسعاد على بانت سعاد  (مع فتح الصمد العالم),,,
وزارة الأوقاف قطر,1,التصوف,البيهقي,كتاب الزهد الكبير,,,
دار الكتب العلمية,1,التصوف,الحسن بن محمد النيسابوري,عقلاء المجانين,,,
دار إحياء الكتب العربية,1,التصوف,السمرقندي,قرة العيون ومفرح القلب المحزون (مع مختصر تذكرة القرطبي),,,
دار ابن حزم,1,التصوف,السمرقندي,تنبيه الغافلين,,,
أبناء مولوي محمد بن غلام,4,التصوف,السهروردي,عوارف المعرف (مع إحياء علوم الدين ),,,
دار الكتب العلمية,1,التصوف,السيد البكري,كفاية الأتقياء ومنهاج الأصفياء شرح هداية الأذكياء إلى طريق الأولياء,,,
المكتبة العلمية الفلكية,1,التصوف,السيد عبد القادر الحسيني الأدهمي,رسالة ميزان العدل في مقاصد أحكام الرمل مع شمس المعارف الكبرى,,,
المكتبة العلمية الفلكية,1,التصوف,السيد عبد القادر الحسيني الأدهمي,رسالة زهر المروج في دلائل الالبوج مع شمس المعارف الكبرى,,,
المكتبة العلمية الفلكية,1,التصوف,السيد عبد القادر الحسيني الأدهمي,رسالة فواتح الرغائب في خصوصيات أوقات الكواكب مع شمس المعارف الكبرى,,,
المكتبة العلمية الفلكية,1,التصوف,السيد عبد القادر الحسيني الأدهمي,رسالة لطائف الإشارة في خصائص الكواكب السيارة مع شمس المعارف الكبرى,,,
دار الكتاب العلمية ,1,التصوف,السيوطي,تنوير الحلك في إمكان رؤية النبي والملك,,,
دار الكتب العلمية,1,التصوف,السيوطي,تأييد الحقيقة العلية وتيسير الطريقة الشاذلية,,,
دار الكتب العلمية,1,التصوف,السيوطي,شرح الصدور بشرح حال الموتى والقبور,,,
المعهد العلم الفرنسي للآثار الشرقية بالقاهرة,1,التصوف,الشعراني,إرشاد المغفلين من الفقهاء والفقراء إلى شروط صحبة الأمراء,,,
المطبعة الأزهرية,1,التصوف,الشعراني,درر الغواص على فتاوى سيدي علي الخواص (مع الإبريز),,,
دار جوامع الكلم,حبتان,التصوف,الشعراني,ردع الفقرا عن دعوى الولاية الكبرى,,,
المعهد العلم الفرنسي للآثار الشرقية بالقاهرة,1,التصوف,الشعراني,مختصر إرشاد المغفلين من الفقهاء والفقراء إلى شروط صحبة الأمراء (مع إرشاد المغفلين),,,
دار إحياء الكتب العربية,1,التصوف,الشعراني,مختصر تذكرة القرطبي,,,
دار الكتب العلمية,1,التصوف,الشعراني,إرشاد الطالبين إلى مراتب العلماء العاملين,,,
دار البيروتي,1,التصوف,الشعراني,الأجوبة المرضية عن أئمة الفقهاء والصوفية,,,
دار التراث العربي,3,التصوف,الشعراني,الأخلاق المتبولية,,,
